[15-12-2015 19:38:58]: Pluz. hat Bonus mit Waffe 30 an Part 7 getroffen, Schaden: 9.9000006
[15-12-2015 19:41:60]: Pluz. hat Bonus mit Waffe 30 an Part 3 getroffen, Schaden: 2.3100002
[15-12-2015 19:42:01]: Pluz. hat Bonus mit Waffe 30 an Part 3 getroffen, Schaden: 2.6400001
[15-12-2015 19:42:02]: Pluz. hat Bonus mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[15-12-2015 19:42:02]: Pluz. hat Bonus mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[15-12-2015 19:42:02]: Pluz. hat Bonus mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[15-12-2015 19:42:02]: Pluz. hat Bonus mit Waffe 30 an Part 6 getroffen, Schaden: 9.9000006
[15-12-2015 19:42:02]: Pluz. hat Bonus mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[15-12-2015 19:42:03]: Pluz. hat Bonus mit Waffe 30 an Part 9 getroffen, Schaden: 9.9000006
[17-12-2015 22:24:57]: Pluz. hat Aviacity mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[17-12-2015 22:24:57]: Pluz. hat Aviacity mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[17-12-2015 22:24:58]: Pluz. hat Aviacity mit Waffe 0 an Part 3 getroffen, Schaden: 3.96
[17-12-2015 22:25:04]: Pluz. hat Aviacity mit Waffe 0 an Part 3 getroffen, Schaden: 2.3100002
[17-12-2015 22:25:04]: Pluz. hat Aviacity mit Waffe 0 an Part 3 getroffen, Schaden: 3.96
[17-12-2015 22:25:04]: Aviacity hat Pluz. mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[17-12-2015 22:25:05]: Pluz. hat Aviacity mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[17-12-2015 22:25:05]: Aviacity hat Pluz. mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[17-12-2015 22:25:05]: Pluz. hat Aviacity mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[17-12-2015 22:25:06]: Pluz. hat Aviacity mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[17-12-2015 22:25:06]: Aviacity hat Pluz. mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[17-12-2015 22:25:06]: Pluz. hat Aviacity mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[17-12-2015 22:25:07]: Aviacity hat Pluz. mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[17-12-2015 22:25:07]: Pluz. hat Aviacity mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[17-12-2015 22:25:07]: Aviacity hat Pluz. mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[17-12-2015 22:25:07]: Pluz. hat Aviacity mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[17-12-2015 22:25:09]: Pluz. hat Aviacity mit Waffe 0 an Part 3 getroffen, Schaden: 2.3100002
[17-12-2015 22:25:12]: Pluz. hat Aviacity mit Waffe 0 an Part 3 getroffen, Schaden: 3.96
[18-12-2015 16:59:23]: Pluz. hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[18-12-2015 16:59:23]: Pluz. hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[18-12-2015 16:59:23]: Pluz. hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[18-12-2015 16:59:23]: Pluz. hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[18-12-2015 16:59:24]: Pluz. hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[18-12-2015 18:08:34]: Bonus hat Pluz. mit Waffe 30 an Part 5 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:34]: Bonus hat Pluz. mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:35]: Bonus hat Pluz. mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:36]: Pluz. hat Bonus mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:36]: Pluz. hat Bonus mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:36]: Pluz. hat Bonus mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:36]: Pluz. hat Bonus mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:37]: Bonus hat Pluz. mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:39]: Bonus hat Pluz. mit Waffe 30 an Part 5 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:39]: Bonus hat Pluz. mit Waffe 30 an Part 5 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:40]: Bonus hat Pluz. mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:40]: Bonus hat Pluz. mit Waffe 30 an Part 9 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:41]: Pluz. hat Bonus mit Waffe 30 an Part 5 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:41]: Bonus hat Pluz. mit Waffe 30 an Part 9 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:41]: Pluz. hat Bonus mit Waffe 30 an Part 5 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:42]: Bonus hat Pluz. mit Waffe 30 an Part 9 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:42]: Pluz. hat Bonus mit Waffe 30 an Part 5 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:42]: Pluz. hat Bonus mit Waffe 30 an Part 5 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:43]: Pluz. hat Bonus mit Waffe 30 an Part 5 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:44]: Pluz. hat Bonus mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:45]: Bonus hat Pluz. mit Waffe 30 an Part 9 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:45]: Pluz. hat Bonus mit Waffe 30 an Part 5 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:46]: Pluz. hat Bonus mit Waffe 30 an Part 5 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:47]: Bonus hat Pluz. mit Waffe 30 an Part 9 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:49]: Bonus hat Pluz. mit Waffe 30 an Part 6 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:49]: Bonus hat Pluz. mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:50]: Bonus hat Pluz. mit Waffe 30 an Part 6 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:50]: Bonus hat Pluz. mit Waffe 30 an Part 6 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:50]: Pluz. hat Bonus mit Waffe 30 an Part 5 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:50]: Pluz. hat Bonus mit Waffe 30 an Part 5 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:50]: Pluz. hat Bonus mit Waffe 30 an Part 5 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:51]: Pluz. hat Bonus mit Waffe 30 an Part 5 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:52]: Bonus hat Pluz. mit Waffe 30 an Part 4 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:54]: Bonus hat Pluz. mit Waffe 30 an Part 9 getroffen, Schaden: 9.9000006
[18-12-2015 18:08:54]: Bonus hat Pluz. mit Waffe 30 an Part 9 getroffen, Schaden: 9.6000004
[19-12-2015 20:29:18]: Bonus hat Pluz. mit Waffe 30 an Part 4 getroffen, Schaden: 9.9000006
[19-12-2015 20:29:18]: Bonus hat Pluz. mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[19-12-2015 20:29:18]: Bonus hat Pluz. mit Waffe 30 an Part 3 getroffen, Schaden: 9.9000006
[19-12-2015 20:29:21]: Bonus hat Pluz. mit Waffe 30 an Part 5 getroffen, Schaden: 9.9000006
[19-12-2015 20:29:22]: Bonus hat Pluz. mit Waffe 30 an Part 7 getroffen, Schaden: 9.9000006
[19-12-2015 20:29:24]: Bonus hat Pluz. mit Waffe 30 an Part 5 getroffen, Schaden: 9.9000006
[19-12-2015 20:31:47]: Pluz. hat Bonus mit Waffe 4 an Part 3 getroffen, Schaden: 2.6400001
[19-12-2015 20:31:49]: Pluz. hat Bonus mit Waffe 4 an Part 3 getroffen, Schaden: 2.6400001
[19-12-2015 20:31:57]: Bonus hat Pluz. mit Waffe 30 an Part 9 getroffen, Schaden: 9.9000006
[19-12-2015 20:31:58]: Bonus hat Pluz. mit Waffe 30 an Part 3 getroffen, Schaden: 2.6400001
[19-12-2015 20:31:58]: Pluz. hat Bonus mit Waffe 4 an Part 3 getroffen, Schaden: 2.6400001
[19-12-2015 20:31:59]: Bonus hat Pluz. mit Waffe 30 an Part 3 getroffen, Schaden: 2.6400001
[19-12-2015 20:31:59]: Pluz. hat Bonus mit Waffe 4 an Part 3 getroffen, Schaden: 2.6400001
[19-12-2015 20:31:60]: Bonus hat Pluz. mit Waffe 30 an Part 3 getroffen, Schaden: 2.6400001
[19-12-2015 20:32:01]: Bonus hat Pluz. mit Waffe 30 an Part 3 getroffen, Schaden: 2.6400001
[19-12-2015 20:32:01]: Pluz. hat Bonus mit Waffe 4 an Part 3 getroffen, Schaden: 6.6000004
[19-12-2015 20:32:01]: Bonus hat Pluz. mit Waffe 30 an Part 3 getroffen, Schaden: 2.6400001
[19-12-2015 21:01:23]: Pluz. hat Bonus mit Waffe 38 an Part 7 getroffen, Schaden: 46.200001
[19-12-2015 21:01:23]: Pluz. hat Bonus mit Waffe 38 an Part 7 getroffen, Schaden: 46.200001
[19-12-2015 21:01:23]: Pluz. hat Bonus mit Waffe 38 an Part 7 getroffen, Schaden: 46.200001
[19-12-2015 21:31:44]: Pluz. hat Bonus mit Waffe 28 an Part 9 getroffen, Schaden: 6.6000004
[19-12-2015 21:31:50]: Pluz. hat Bonus mit Waffe 28 an Part 9 getroffen, Schaden: 6.6000004
[19-12-2015 21:34:13]: Pluz. hat Bonus mit Waffe 28 an Part 9 getroffen, Schaden: 6.6000004
[19-12-2015 21:34:14]: Pluz. hat Bonus mit Waffe 28 an Part 9 getroffen, Schaden: 6.6000004
[19-12-2015 21:34:51]: Bonus hat Pluz. mit Waffe 24 an Part 9 getroffen, Schaden: 22
[19-12-2015 22:14:44]: Plusmacher hat Pluz. mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[19-12-2015 22:26:19]: Plusmacher hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[19-12-2015 22:26:19]: Plusmacher hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[19-12-2015 22:28:07]: Pluz. hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[19-12-2015 22:30:54]: Pluz. hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[19-12-2015 22:33:55]: Bonus hat Pluz. mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[19-12-2015 22:34:17]: Plusmacher hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[19-12-2015 22:41:17]: Plusmacher hat Bonus mit Waffe 24 an Part 9 getroffen, Schaden: 23.1
[19-12-2015 22:41:21]: Plusmacher hat Bonus mit Waffe 28 an Part 3 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:21]: Plusmacher hat Bonus mit Waffe 28 an Part 3 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:31]: Plusmacher hat Bonus mit Waffe 28 an Part 6 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:31]: Plusmacher hat Bonus mit Waffe 28 an Part 6 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:33]: Plusmacher hat Bonus mit Waffe 28 an Part 5 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:34]: Plusmacher hat Bonus mit Waffe 28 an Part 5 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:36]: Bonus hat Plusmacher mit Waffe 0 an Part 3 getroffen, Schaden: 3.96
[19-12-2015 22:41:36]: Bonus hat Plusmacher mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[19-12-2015 22:41:37]: Bonus hat Plusmacher mit Waffe 0 an Part 3 getroffen, Schaden: 2.3100002
[19-12-2015 22:41:37]: Bonus hat Plusmacher mit Waffe 0 an Part 3 getroffen, Schaden: 3.96
[19-12-2015 22:41:38]: Bonus hat Plusmacher mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[19-12-2015 22:41:39]: Bonus hat Plusmacher mit Waffe 0 an Part 3 getroffen, Schaden: 3.96
[19-12-2015 22:41:41]: Plusmacher hat Bonus mit Waffe 28 an Part 3 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:41]: Plusmacher hat Bonus mit Waffe 28 an Part 3 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:42]: Plusmacher hat Bonus mit Waffe 28 an Part 3 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:42]: Plusmacher hat Bonus mit Waffe 28 an Part 6 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:42]: Plusmacher hat Bonus mit Waffe 28 an Part 6 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:50]: Plusmacher hat Bonus mit Waffe 28 an Part 4 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:50]: Plusmacher hat Bonus mit Waffe 28 an Part 4 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:50]: Plusmacher hat Bonus mit Waffe 28 an Part 5 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:50]: Plusmacher hat Bonus mit Waffe 28 an Part 3 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:52]: Plusmacher hat Bonus mit Waffe 28 an Part 6 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:52]: Plusmacher hat Bonus mit Waffe 28 an Part 3 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:52]: Plusmacher hat Bonus mit Waffe 28 an Part 3 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:52]: Plusmacher hat Bonus mit Waffe 28 an Part 6 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:52]: Plusmacher hat Bonus mit Waffe 28 an Part 9 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:52]: Plusmacher hat Bonus mit Waffe 28 an Part 3 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:53]: Plusmacher hat Bonus mit Waffe 28 an Part 3 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:53]: Plusmacher hat Bonus mit Waffe 28 an Part 6 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:53]: Plusmacher hat Bonus mit Waffe 28 an Part 6 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:57]: Plusmacher hat Bonus mit Waffe 28 an Part 4 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:57]: Plusmacher hat Bonus mit Waffe 28 an Part 9 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:58]: Plusmacher hat Bonus mit Waffe 28 an Part 9 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:58]: Plusmacher hat Bonus mit Waffe 28 an Part 6 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:59]: Plusmacher hat Bonus mit Waffe 28 an Part 8 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:59]: Plusmacher hat Bonus mit Waffe 28 an Part 7 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:59]: Plusmacher hat Bonus mit Waffe 28 an Part 5 getroffen, Schaden: 6.6000004
[19-12-2015 22:41:59]: Plusmacher hat Bonus mit Waffe 28 an Part 5 getroffen, Schaden: 6.6000004
[19-12-2015 22:42:26]: Plusmacher hat Bonus mit Waffe 24 an Part 9 getroffen, Schaden: 23.1
[19-12-2015 22:42:35]: Plusmacher hat Bonus mit Waffe 28 an Part 9 getroffen, Schaden: 6.6000004
[19-12-2015 22:42:58]: Plusmacher hat Bonus mit Waffe 28 an Part 9 getroffen, Schaden: 6.6000004
[19-12-2015 22:42:58]: Plusmacher hat Bonus mit Waffe 28 an Part 5 getroffen, Schaden: 6.6000004
[19-12-2015 22:42:58]: Plusmacher hat Bonus mit Waffe 28 an Part 3 getroffen, Schaden: 6.6000004
[19-12-2015 22:42:58]: Plusmacher hat Bonus mit Waffe 28 an Part 6 getroffen, Schaden: 6.6000004
[19-12-2015 22:42:59]: Plusmacher hat Bonus mit Waffe 28 an Part 8 getroffen, Schaden: 6.6000004
[19-12-2015 22:43:24]: Plusmacher hat Bonus mit Waffe 24 an Part 7 getroffen, Schaden: 23.1
[19-12-2015 22:43:26]: Bonus hat Plusmacher mit Waffe 31 an Part 6 getroffen, Schaden: 9.9000006
[19-12-2015 22:43:27]: Bonus hat Plusmacher mit Waffe 31 an Part 6 getroffen, Schaden: 9.9000006
[19-12-2015 22:43:33]: Bonus hat Plusmacher mit Waffe 31 an Part 7 getroffen, Schaden: 9.9000006
[19-12-2015 22:43:39]: Bonus hat Plusmacher mit Waffe 31 an Part 3 getroffen, Schaden: 10
[19-12-2015 23:58:32]: Plusmacher hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 2.3100002
[19-12-2015 23:58:32]: Pluz. hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[19-12-2015 23:58:33]: Pluz. hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 2.3100002
[19-12-2015 23:58:33]: Pluz. hat Plusmacher mit Waffe 0 an Part 3 getroffen, Schaden: 2.3100002
[19-12-2015 23:58:33]: Plusmacher hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 3.96
[19-12-2015 23:58:33]: Plusmacher hat Pluz. mit Waffe 0 an Part 3 getroffen, Schaden: 3.96
[19-12-2015 23:58:33]: Plusmacher hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[19-12-2015 23:58:34]: Plusmacher hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 2.3100002
[19-12-2015 23:58:34]: Pluz. hat Plusmacher mit Waffe 0 an Part 3 getroffen, Schaden: 2.3100002
[19-12-2015 23:58:34]: Plusmacher hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[19-12-2015 23:58:34]: Plusmacher hat Pluz. mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[19-12-2015 23:58:35]: Pluz. hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[19-12-2015 23:58:35]: Plusmacher hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[19-12-2015 23:58:35]: Plusmacher hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 2.3100002
[19-12-2015 23:58:36]: Pluz. hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[19-12-2015 23:58:36]: Plusmacher hat Pluz. mit Waffe 0 an Part 3 getroffen, Schaden: 3.96
[19-12-2015 23:58:36]: Pluz. hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 2.3100002
[19-12-2015 23:58:37]: Plusmacher hat Pluz. mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[19-12-2015 23:58:37]: Pluz. hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 3.96
[19-12-2015 23:58:37]: Plusmacher hat Pluz. mit Waffe 0 an Part 3 getroffen, Schaden: 2.3100002
[19-12-2015 23:58:38]: Plusmacher hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 3.96
[19-12-2015 23:58:39]: Plusmacher hat Pluz. mit Waffe 0 an Part 3 getroffen, Schaden: 2.3100002
[19-12-2015 23:58:58]: Bonus hat Pluz. mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[19-12-2015 23:58:58]: Bonus hat Pluz. mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[20-12-2015 00:04:02]: Pluz. hat Plusmacher mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[20-12-2015 00:04:05]: Pluz. hat Plusmacher mit Waffe 0 an Part 3 getroffen, Schaden: 2
[20-12-2015 00:09:01]: Bonus hat Pluz. mit Waffe 31 an Part 3 getroffen, Schaden: 9.9000006
[20-12-2015 00:09:01]: Bonus hat Pluz. mit Waffe 31 an Part 3 getroffen, Schaden: 9.9000006
[20-12-2015 00:09:01]: Bonus hat Pluz. mit Waffe 31 an Part 3 getroffen, Schaden: 9.9000006
[20-12-2015 00:09:01]: Bonus hat Pluz. mit Waffe 31 an Part 3 getroffen, Schaden: 9.9000006
[20-12-2015 00:09:08]: Bonus hat Pluz. mit Waffe 31 an Part 9 getroffen, Schaden: 9.9000006
[20-12-2015 00:09:08]: Bonus hat Pluz. mit Waffe 31 an Part 9 getroffen, Schaden: 9.9000006
[20-12-2015 00:09:08]: Bonus hat Pluz. mit Waffe 31 an Part 9 getroffen, Schaden: 9.9000006
[20-12-2015 00:09:08]: Bonus hat Pluz. mit Waffe 31 an Part 9 getroffen, Schaden: 9.9000006
[20-12-2015 00:09:08]: Bonus hat Pluz. mit Waffe 31 an Part 9 getroffen, Schaden: 9.9000006
[20-12-2015 00:09:08]: Bonus hat Pluz. mit Waffe 31 an Part 9 getroffen, Schaden: 7.1999998
[20-12-2015 00:26:41]: Bonus hat Pluz. mit Waffe 31 an Part 9 getroffen, Schaden: 9.9000006
[20-12-2015 00:26:42]: Bonus hat Pluz. mit Waffe 31 an Part 9 getroffen, Schaden: 9.9000006
[20-12-2015 00:27:04]: Bonus hat Pluz. mit Waffe 31 an Part 9 getroffen, Schaden: 9.9000006
[20-12-2015 00:27:04]: Bonus hat Pluz. mit Waffe 31 an Part 9 getroffen, Schaden: 9.9000006
[20-12-2015 00:27:05]: Bonus hat Pluz. mit Waffe 31 an Part 9 getroffen, Schaden: 9.9000006
[20-12-2015 00:27:05]: Bonus hat Pluz. mit Waffe 31 an Part 9 getroffen, Schaden: 9.9000006
[20-12-2015 00:27:05]: Bonus hat Pluz. mit Waffe 31 an Part 9 getroffen, Schaden: 9.9000006
[20-12-2015 00:27:05]: Bonus hat Pluz. mit Waffe 31 an Part 9 getroffen, Schaden: 9.9000006
[20-12-2015 00:27:05]: Bonus hat Pluz. mit Waffe 31 an Part 9 getroffen, Schaden: 9.9000006
[20-12-2015 00:27:05]: Bonus hat Pluz. mit Waffe 31 an Part 9 getroffen, Schaden: 9.6000004
[20-12-2015 22:59:30]: Plusmacher hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[20-12-2015 23:31:23]: Plusmacher hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[21-12-2015 00:05:23]: Plusmacher hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[21-12-2015 00:05:23]: Plusmacher hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[21-12-2015 00:05:24]: Plusmacher hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 1.3200001
[21-12-2015 00:05:24]: Plusmacher hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 2.3100002
[21-12-2015 00:05:25]: Plusmacher hat Bonus mit Waffe 0 an Part 3 getroffen, Schaden: 3.96
[21-12-2015 00:06:28]: Bonus hat Plusmacher mit Waffe 37 an Part 3 getroffen, Schaden: 0.11550175
[21-12-2015 00:06:28]: Bonus hat Plusmacher mit Waffe 37 an Part 3 getroffen, Schaden: 0.13200174
[21-12-2015 00:06:28]: Bonus hat Plusmacher mit Waffe 37 an Part 3 getroffen, Schaden: 0.13200116
[21-12-2015 00:06:28]: Bonus hat Plusmacher mit Waffe 37 an Part 3 getroffen, Schaden: 0.11550175
[21-12-2015 00:06:28]: Bonus hat Plusmacher mit Waffe 37 an Part 3 getroffen, Schaden: 0.14025174
[21-12-2015 00:06:28]: Bonus hat Plusmacher mit Waffe 37 an Part 3 getroffen, Schaden: 0.11550175
[21-12-2015 00:06:28]: Bonus hat Plusmacher mit Waffe 37 an Part 3 getroffen, Schaden: 0.13200116
[21-12-2015 00:06:28]: Bonus hat Plusmacher mit Waffe 37 an Part 3 getroffen, Schaden: 0.13200174
[21-12-2015 00:06:28]: Bonus hat Plusmacher mit Waffe 37 an Part 3 getroffen, Schaden: 0.11550175
[21-12-2015 00:06:28]: Bonus hat Plusmacher mit Waffe 37 an Part 3 getroffen, Schaden: 0.14850174
[21-12-2015 00:06:28]: Bonus hat Plusmacher mit Waffe 37 an Part 3 getroffen, Schaden: 0.11550175
[21-12-2015 00:06:28]: Bonus hat Plusmacher mit Waffe 37 an Part 3 getroffen, Schaden: 0.11550115
[21-12-2015 00:06:28]: Bonus hat Plusmacher mit Waffe 37 an Part 3 getroffen, Schaden: 0.14025174
[21-12-2015 00:06:28]: Bonus hat Plusmacher mit Waffe 37 an Part 3 getroffen, Schaden: 0.12375174
